Date,Open,High,Low,Close,Adj Close,Volume
1/4/2011,3.425,3.48,3.4005,3.4635,3.211935,5963520
1/5/2011,3.4395,3.45,3.186,3.244,3.008378,20668340
1/6/2011,3.242,3.265,3.1865,3.223,2.988903,6779060
1/7/2011,3.2005,3.2105,3.07,3.1185,2.891994,13228920
1/10/2011,3.081,3.18,3.04,3.0795,2.855826,7448480
1/11/2011,3.04,3.095,2.9155,2.9825,2.765872,8727860
1/12/2011,2.99,3.085,2.945,3.078,2.854435,7565320
1/13/2011,3.0975,3.125,3.0155,3.047,2.825687,3849920
1/14/2011,3.0155,3.0655,2.8505,2.8755,2.666643,11350380
1/17/2011,2.8755,2.8945,2.59,2.684,2.489053,13338920
1/18/2011,2.6745,2.7245,2.624,2.674,2.479779,6385780
1/19/2011,null,null,null,null,null,null
1/20/2011,2.7485,2.775,2.598,2.615,2.425065,10039100
1/21/2011,2.58,2.649,2.533,2.604,2.414864,4795600
1/24/2011,2.6,2.6275,2.54,2.55,2.364785,3982700
1/25/2011,2.5475,2.625,2.525,2.6035,2.4144,7622200
1/26/2011,2.6035,2.7945,2.6025,2.7455,2.546086,9475640
1/27/2011,2.7015,2.79,2.67,2.7425,2.543304,6726520
1/28/2011,2.7005,2.755,2.7,2.726,2.528002,3921440
1/31/2011,2.735,2.8225,2.735,2.806,2.602192,7409440
2/1/2011,2.8065,2.8395,2.7505,2.822,2.617029,6876860
2/9/2011,2.772,2.819,2.7,2.819,2.614247,5782080
2/10/2011,2.8165,2.8745,2.76,2.8515,2.644387,5552840
2/11/2011,2.8515,2.945,2.837,2.92,2.707911,8023260
2/14/2011,2.925,2.9665,2.8835,2.9295,2.716721,6578280
2/15/2011,2.915,2.97,2.8725,2.8995,2.6889,7734980
2/16/2011,2.894,3,2.879,2.9645,2.749179,8204800
2/17/2011,2.9845,3.05,2.9515,3.024,2.804357,14877980
2/18/2011,3.024,3.0975,2.9655,3.0295,2.809458,19031000
2/21/2011,2.993,3.0895,2.97,3.0795,2.855826,5774980
2/22/2011,3.095,3.095,3.02,3.0245,2.804821,7757680
2/23/2011,3.0165,3.264,3.0025,3.15,2.921206,16462960
2/24/2011,3.139,3.2735,3.1105,3.225,2.990758,15707420
2/25/2011,3.225,3.2565,3.201,3.232,2.99725,10168740
2/28/2011,3.222,3.262,3.16,3.25,3.013942,21328340
3/1/2011,3.279,3.279,3.135,3.145,2.916569,22186500
3/2/2011,3.135,3.175,3.06,3.1,2.874838,9722360
3/3/2011,3.0615,3.12,2.9445,2.995,2.777463,23001300
3/4/2011,2.9925,3.1995,2.9515,3.1995,2.967111,12397140
3/7/2011,3.1995,3.279,3.175,3.223,2.988903,14001940
3/8/2011,3.2235,3.36,3.2015,3.359,3.115026,11255060
3/9/2011,3.359,3.5035,3.34,3.3945,3.147947,20583240
3/10/2011,3.435,3.4385,3.28,3.3025,3.062629,14780620
3/11/2011,3.293,3.3795,3.2745,3.3245,3.083031,11276740
3/14/2011,3.3655,3.4635,3.2925,3.3125,3.071903,9045540
3/15/2011,3.283,3.299,3.15,3.2595,3.022753,8605920
3/16/2011,3.2595,3.325,3.2,3.294,3.054746,4646920
3/17/2011,3.2505,3.2935,3.145,3.145,2.916569,6017820
3/18/2011,3.147,3.2,3.138,3.165,2.935116,3926180
3/21/2011,3.15,3.16,3.0435,3.078,2.854435,11213180
3/22/2011,3.12,3.225,3.06,3.112,2.885966,6591620
3/23/2011,3.101,3.14,3.1,3.135,2.907295,4252900
3/24/2011,3.135,3.135,3.05,3.083,2.859072,5847020
3/25/2011,3.083,3.123,3.0545,3.12,2.893384,6299820
3/28/2011,3.075,3.1275,3.0655,3.094,2.869273,4587680
3/29/2011,3.1125,3.1165,2.995,3,2.782101,4978180
3/30/2011,2.9755,3,2.865,2.965,2.749643,5852220
3/31/2011,null,null,null,null,null,null
4/1/2011,2.94,2.9695,2.8695,2.949,2.734805,2588500
4/6/2011,2.9005,2.9645,2.8825,2.9455,2.731559,3369080
4/7/2011,2.945,2.965,2.896,2.9505,2.736196,1677420
4/8/2011,2.974,3.075,2.9525,3.0395,2.818732,6196820
4/11/2011,3.05,3.0745,2.985,2.99,2.772827,4768020
4/12/2011,2.954,3.025,2.95,2.965,2.749643,4289300
4/13/2011,2.95,2.95,2.875,2.901,2.690291,6794000
4/14/2011,2.9,2.915,2.785,2.79,2.587353,15093800
4/15/2011,2.8035,2.8035,2.72,2.76,2.559533,14901800
4/18/2011,2.745,2.76,2.6865,2.715,2.517801,11294660
4/19/2011,2.715,2.85,2.675,2.824,2.618884,11811900
4/20/2011,2.81,2.81,2.7365,2.772,2.570661,10460220
4/21/2011,2.77,2.8255,2.71,2.735,2.536348,9772340
4/22/2011,2.7005,2.708,2.617,2.625,2.434338,20348600
4/25/2011,2.6285,2.685,2.49,2.509,2.326764,20355700
4/26/2011,2.509,2.5585,2.475,2.5,2.318417,8002200
4/27/2011,2.51,2.5345,2.48,2.5105,2.328154,4580240
4/28/2011,2.5105,2.529,2.4705,2.4795,2.299406,4379840
4/29/2011,2.472,2.478,2.263,2.367,2.268262,7248860
5/3/2011,2.347,2.359,2.292,2.327,2.22993,5345230
5/4/2011,2.325,2.34,2.271,2.282,2.186807,7263170
5/5/2011,2.279,2.296,2.221,2.287,2.191599,3085490
5/6/2011,2.278,2.317,2.25,2.287,2.191599,4651770
5/9/2011,2.319,2.348,2.231,2.272,2.177225,9870260
5/10/2011,2.272,2.288,2.1,2.26,2.165725,5755980
5/11/2011,2.248,2.248,2.2,2.214,2.121644,6168530
5/12/2011,2.23,2.286,2.202,2.216,2.123561,7014830
5/13/2011,2.21,2.262,2.21,2.246,2.15231,4191590
5/16/2011,2.247,2.26,2.2,2.201,2.109187,3540940
5/17/2011,2.223,2.225,2.181,2.205,2.11302,6351690
5/18/2011,2.186,2.22,2.18,2.205,2.11302,3487130
5/19/2011,2.205,2.218,2.183,2.183,2.091937,3218000
5/20/2011,2.205,2.401,2.198,2.401,2.300844,28271660
5/23/2011,2.473,2.641,2.473,2.591,2.482918,55241320
5/24/2011,2.591,2.765,2.412,2.62,2.510708,34747380
5/25/2011,2.571,2.698,2.541,2.6,2.491542,24636110
5/26/2011,2.585,2.613,2.471,2.502,2.397631,19645820
5/27/2011,2.471,2.474,2.26,2.337,2.239513,19212350
5/30/2011,2.301,2.305,2.159,2.205,2.11302,12968010
5/31/2011,2.201,2.31,2.201,2.289,2.193516,10995580
6/1/2011,2.296,2.518,2.24,2.518,2.412963,14488140
6/2/2011,2.55,2.65,2.47,2.549,2.44267,31804710
6/3/2011,2.551,2.717,2.485,2.68,2.568205,33739800
6/7/2011,2.66,2.673,2.568,2.647,2.536582,18677480
6/8/2011,2.61,2.75,2.61,2.694,2.581621,22146600
6/9/2011,2.658,2.681,2.501,2.501,2.396672,15586850
6/10/2011,2.47,2.6,2.451,2.572,2.46471,15214170
6/13/2011,2.575,2.586,2.48,2.57,2.462794,8757040
6/14/2011,2.55,2.69,2.533,2.648,2.53754,12038650
6/15/2011,2.621,2.699,2.58,2.586,2.478127,11536040
6/16/2011,2.548,2.548,2.5,2.528,2.422546,8655120
6/17/2011,2.5,2.544,2.4,2.424,2.322884,9352010
6/20/2011,2.41,2.41,2.262,2.276,2.181058,14375250
6/21/2011,2.32,2.429,2.29,2.41,2.309469,9530730
6/22/2011,2.409,2.434,2.368,2.37,2.271137,6180110
6/23/2011,2.35,2.43,2.275,2.406,2.305635,11079530
6/24/2011,2.4,2.647,2.371,2.647,2.536582,19903500
6/27/2011,2.778,2.83,2.713,2.73,2.61612,79695270
6/28/2011,2.703,2.82,2.7,2.711,2.597912,38932910
6/29/2011,2.675,2.747,2.64,2.663,2.551915,27916740
6/30/2011,2.642,2.748,2.642,2.735,2.620911,28161780
7/1/2011,2.702,2.749,2.661,2.689,2.57683,15774600
7/4/2011,2.7,2.755,2.67,2.745,2.630494,24009940
7/5/2011,2.753,2.848,2.71,2.8,2.683199,38182960
7/6/2011,2.789,3.058,2.76,2.955,2.831734,57570350
7/7/2011,2.931,2.939,2.85,2.878,2.757946,38004140
7/8/2011,2.85,2.88,2.76,2.781,2.664992,27062670
7/11/2011,2.782,2.883,2.748,2.829,2.71099,23670580
7/12/2011,2.801,2.801,2.723,2.723,2.609411,17657880
7/13/2011,2.705,2.825,2.705,2.79,2.673617,17327290
7/14/2011,2.709,2.709,2.558,2.626,2.516458,58935020
7/15/2011,2.615,2.625,2.562,2.571,2.463753,36561840
7/18/2011,2.59,2.649,2.586,2.608,2.499209,29369580
7/19/2011,2.607,2.842,2.598,2.799,2.682241,67805820
7/20/2011,2.79,2.808,2.701,2.73,2.61612,30986680
7/21/2011,2.748,2.781,2.621,2.655,2.544248,21397310
7/22/2011,2.651,2.673,2.62,2.645,2.534665,18278250
7/25/2011,2.643,2.643,2.464,2.466,2.363132,31336300
7/26/2011,2.45,2.48,2.37,2.442,2.340133,22265670
7/27/2011,2.432,2.495,2.381,2.481,2.377506,13830200
7/28/2011,2.439,2.495,2.411,2.441,2.339175,16398480
7/29/2011,2.441,2.445,2.34,2.344,2.246222,23416500
8/1/2011,2.3,2.36,2.281,2.322,2.225139,11798130
8/2/2011,2.322,2.322,2.233,2.303,2.206932,12323410
8/3/2011,2.27,2.41,2.265,2.379,2.279762,21956750
8/4/2011,2.365,2.398,2.345,2.37,2.271137,10784930
8/5/2011,2.25,2.321,2.24,2.307,2.210765,10857600
8/8/2011,2.27,2.3,2.076,2.092,2.004734,25738070
8/9/2011,2.005,2.093,1.915,2.025,1.940528,16189740
8/10/2011,2.075,2.09,2.02,2.03,1.94532,14891440
8/11/2011,1.968,2.047,1.95,2.036,1.951069,12790950
8/12/2011,2.068,2.111,2.068,2.086,1.998984,18118780
8/15/2011,2.087,2.138,2.065,2.119,2.030607,13489030
8/16/2011,2.13,2.13,2.051,2.058,1.972152,18250150
8/17/2011,2.05,2.1,2.046,2.088,2.0009,13274140
8/18/2011,2.09,2.09,2.018,2.038,1.952986,11031640
8/19/2011,1.985,2.01,1.94,2.007,1.923279,8301960
8/22/2011,2.007,2.038,1.98,2.016,1.931904,6341640
8/23/2011,2.032,2.082,2.012,2.072,1.985568,13685480
8/24/2011,2.08,2.18,2.06,2.1,2.0124,26439230
8/25/2011,2.104,2.13,2.052,2.11,2.021983,17016360
8/26/2011,2.11,2.183,2.075,2.15,2.060314,26760550
8/29/2011,2.202,2.29,2.154,2.161,2.070855,31630380
8/30/2011,2.156,2.167,2.092,2.092,2.004734,16793400
8/31/2011,2.083,2.1,2.03,2.05,1.964486,11350020
9/1/2011,2.056,2.09,2,2,1.916571,12287780
9/2/2011,1.99,2.048,1.968,2.001,1.917529,18488700
9/5/2011,1.98,1.99,1.885,1.885,1.806368,15794040
9/6/2011,1.84,1.915,1.838,1.844,1.767079,10856160
9/7/2011,1.87,1.89,1.841,1.883,1.804452,11354920
9/8/2011,1.89,1.948,1.88,1.88,1.801577,14881760
9/9/2011,1.88,1.91,1.831,1.85,1.772828,7823720
9/13/2011,1.808,1.808,1.758,1.775,1.700957,9371050
9/14/2011,null,null,null,null,null,null
9/15/2011,1.806,1.953,1.803,1.953,1.871532,35605910
9/16/2011,1.99,2.125,1.985,2.057,1.971194,66602400
9/19/2011,2.04,2.115,2.007,2.088,2.0009,46507460
9/20/2011,2.08,2.13,2.012,2.13,2.041148,57993450
9/21/2011,2.105,2.19,2.075,2.182,2.090979,75043030
9/22/2011,2.15,2.17,2.072,2.091,2.003775,54688540
9/23/2011,2.04,2.123,2.025,2.093,2.005692,36725750
9/26/2011,2.07,2.12,2.047,2.086,1.998984,36835650
9/27/2011,2.106,2.138,2.012,2.015,1.930946,35537120
9/28/2011,2.03,2.087,1.963,1.976,1.893572,28395200
9/29/2011,1.96,1.96,1.778,1.79,1.715331,39033930
9/30/2011,1.796,1.82,1.738,1.816,1.740247,21918700
10/10/2011,1.82,1.844,1.772,1.796,1.721081,11713950
10/11/2011,1.852,1.88,1.738,1.774,1.699999,21618630
10/12/2011,1.763,1.858,1.691,1.84,1.763246,24161450
10/13/2011,1.822,2.024,1.822,2.024,1.93957,54004290
10/14/2011,2.063,2.063,1.975,1.995,1.91178,49571100
10/17/2011,2,2.088,1.99,2.024,1.93957,52800830
10/18/2011,1.998,2.023,1.9,1.903,1.823617,33577830
10/19/2011,1.905,1.945,1.845,1.89,1.81116,20286670
10/20/2011,1.862,1.926,1.805,1.83,1.753663,20936770
10/21/2011,1.832,1.852,1.775,1.775,1.700957,13595060
10/24/2011,1.791,1.91,1.75,1.897,1.817868,28686320
10/25/2011,1.898,1.968,1.851,1.93,1.849491,35205540
10/26/2011,1.905,2.028,1.875,1.97,1.887823,46256970
10/27/2011,1.963,2.02,1.927,1.945,1.863866,35546280
10/28/2011,1.975,1.988,1.928,1.967,1.884948,31729810
10/31/2011,1.95,1.984,1.91,1.983,1.90028,33839320
11/1/2011,1.965,2.181,1.951,2.181,2.090021,103275600
11/2/2011,2.14,2.385,2.14,2.335,2.237597,155192050
11/3/2011,2.325,2.4,2.281,2.338,2.240472,87149760
11/4/2011,2.339,2.355,2.27,2.31,2.213639,50335290
11/7/2011,2.294,2.294,2.215,2.246,2.15231,58312420
11/8/2011,2.23,2.265,2.213,2.241,2.147518,35050850
11/9/2011,2.255,2.372,2.231,2.371,2.272095,73778210
11/10/2011,2.347,2.455,2.3,2.413,2.312343,85895480
11/11/2011,2.381,2.407,2.308,2.336,2.238555,56421990
11/14/2011,2.348,2.455,2.348,2.399,2.298927,54531650
11/15/2011,null,null,null,null,null,null
11/16/2011,2.385,2.55,2.36,2.38,2.28072,52977020
11/17/2011,2.36,2.464,2.346,2.422,2.320967,35434840
11/18/2011,2.356,2.41,2.28,2.29,2.194474,38128890
11/21/2011,2.288,2.325,2.183,2.217,2.124519,29399450
11/22/2011,2.2,2.285,2.131,2.283,2.187766,22308200
11/23/2011,2.275,2.317,2.209,2.209,2.116853,20211560
11/24/2011,2.17,2.263,2.056,2.24,2.14656,21638210
11/25/2011,2.245,2.306,2.2,2.218,2.125478,22931970
11/28/2011,2.227,2.254,2.151,2.191,2.099604,15848460
11/29/2011,2.231,2.269,2.205,2.258,2.163809,30874600
11/30/2011,2.27,2.296,2.1,2.17,2.07948,40611500
12/1/2011,2.25,2.27,2.192,2.202,2.110145,29477060
12/2/2011,2.19,2.226,2.09,2.115,2.026774,20758500
12/5/2011,2.115,2.115,1.99,2.011,1.927112,15795980
12/6/2011,2.009,2.039,1.96,2.018,1.93382,8135610
12/7/2011,2.04,2.079,2.013,2.028,1.943403,9120790
12/8/2011,2,2.08,1.988,2.022,1.937653,10357510
12/9/2011,1.99,2.039,1.951,1.963,1.881115,10961880
12/12/2011,1.965,1.986,1.952,1.952,1.870573,10055490
12/13/2011,1.95,1.959,1.88,1.886,1.807327,10952640
12/14/2011,1.833,1.899,1.809,1.885,1.806368,14580650
12/15/2011,1.833,1.905,1.816,1.882,1.803493,14037760
12/16/2011,1.881,1.95,1.858,1.945,1.863866,8539690
12/19/2011,1.935,1.979,1.889,1.965,1.883031,8685680
12/20/2011,1.955,2.015,1.93,1.938,1.857157,11558060
12/21/2011,1.968,1.978,1.892,1.894,1.814993,8728620
12/22/2011,1.88,1.919,1.793,1.89,1.81116,10360780
12/23/2011,1.876,1.919,1.851,1.898,1.818826,5871260
12/26/2011,1.832,1.906,1.815,1.876,1.797744,2937370
12/27/2011,1.897,1.897,1.795,1.801,1.725872,8011660
12/28/2011,1.781,1.8,1.67,1.79,1.715331,11582600
12/29/2011,1.75,1.795,1.738,1.795,1.720122,4750970
12/30/2011,1.765,1.863,1.765,1.853,1.775703,5495510
1/4/2012,1.765,1.897,1.759,1.779,1.70479,11000030
1/5/2012,1.748,1.77,1.625,1.64,1.571588,9220200
1/6/2012,1.635,1.68,1.55,1.604,1.53709,10936950
1/9/2012,1.611,1.653,1.51,1.641,1.572547,25103780
1/10/2012,1.651,1.733,1.62,1.7,1.629086,21610640
1/11/2012,1.688,1.778,1.671,1.7,1.629086,19163840
1/12/2012,1.69,1.748,1.675,1.7,1.629086,12920310
1/13/2012,1.72,1.727,1.586,1.6,1.533257,17750560
1/16/2012,1.558,1.587,1.44,1.469,1.407722,20102510
1/17/2012,1.445,1.548,1.374,1.526,1.462344,21845890
1/18/2012,1.538,1.55,1.383,1.395,1.336808,20558190
1/19/2012,1.4,1.421,1.32,1.405,1.346391,16947030
1/20/2012,1.411,1.474,1.4,1.453,1.392389,14276000
1/30/2012,1.453,1.519,1.42,1.455,1.394305,12652050
1/31/2012,1.44,1.47,1.429,1.463,1.401972,10299200
2/1/2012,1.45,1.48,1.433,1.448,1.387598,9237740
2/2/2012,1.442,1.504,1.442,1.503,1.440303,12654270
2/3/2012,1.504,1.653,1.5,1.653,1.584046,38633950
2/6/2012,1.722,1.794,1.71,1.732,1.659751,61070010
2/7/2012,1.732,1.827,1.723,1.763,1.689458,69077360
2/8/2012,1.743,1.838,1.738,1.816,1.740247,64851950
2/9/2012,1.79,1.88,1.776,1.809,1.733539,56934300
2/10/2012,1.805,1.885,1.79,1.845,1.768037,46067810
2/13/2012,1.811,2.03,1.811,1.99,1.906988,105667230
2/14/2012,1.99,1.99,1.99,1.99,1.906988,0
2/15/2012,1.99,1.99,1.99,1.99,1.906988,0
2/16/2012,2.08,2.08,1.9,1.961,1.879198,112555140
2/17/2012,1.921,2.01,1.921,1.998,1.914655,55617560
2/20/2012,2.01,2.08,1.97,1.985,1.902197,52288350
2/21/2012,1.96,1.985,1.918,1.98,1.897405,42432470
2/22/2012,1.968,2.05,1.957,2.02,1.935737,43968070
2/23/2012,2.018,2.12,2.01,2.052,1.966402,60005980
2/24/2012,2.015,2.087,2.015,2.06,1.974068,41849740
2/27/2012,2.097,2.21,2.062,2.158,2.06798,69306970
2/28/2012,2.157,2.189,2.1,2.16,2.069897,42041430
2/29/2012,2.15,2.25,2.12,2.23,2.136977,65729470
3/1/2012,2.22,2.251,2.189,2.203,2.111103,38377680
3/2/2012,2.203,2.203,2.203,2.203,2.111103,0
3/5/2012,2.21,2.34,2.21,2.286,2.190641,78787330
3/6/2012,2.29,2.44,2.27,2.388,2.288386,73844170
3/7/2012,2.347,2.37,2.288,2.313,2.216514,56118910
3/8/2012,2.311,2.315,2.208,2.293,2.197349,71918410
3/9/2012,2.289,2.289,2.236,2.265,2.170517,59261760
3/12/2012,2.265,2.265,2.265,2.265,2.170517,0
3/13/2012,2.24,2.455,2.239,2.425,2.323843,107374570
3/14/2012,2.436,2.439,2.297,2.348,2.250055,87014540
3/15/2012,2.34,2.449,2.22,2.426,2.324801,55757050
3/16/2012,2.412,2.56,2.377,2.51,2.405297,61078270
3/19/2012,2.491,2.573,2.47,2.535,2.429254,35503620
3/20/2012,2.524,2.54,2.4,2.44,2.338217,32065620
3/21/2012,2.445,2.445,2.288,2.311,2.214598,46431410
3/22/2012,2.338,2.358,2.29,2.33,2.232805,20407710
3/23/2012,2.329,2.39,2.3,2.32,2.223222,17421260
3/26/2012,2.321,2.342,2.221,2.266,2.171475,12110100
3/27/2012,2.298,2.315,2.253,2.253,2.159018,10404750
3/28/2012,2.226,2.251,2.15,2.152,2.06223,22765560
3/29/2012,2.154,2.18,2.09,2.165,2.074688,16539720
3/30/2012,2.172,2.32,2.17,2.202,2.110145,19620690
4/5/2012,2.202,2.3,2.1,2.286,2.190641,20932480
4/6/2012,2.266,2.38,2.26,2.326,2.228972,29957360
4/9/2012,2.3,2.301,2.2,2.218,2.125478,17230110
4/10/2012,2.209,2.236,2.12,2.2,2.108228,19690160
4/11/2012,2.2,2.2,2.2,2.2,2.108228,0
4/12/2012,2.227,2.269,2.22,2.245,2.151351,29382290
4/13/2012,2.245,2.319,2.238,2.278,2.182975,18763730
4/16/2012,2.284,2.495,2.262,2.473,2.36984,69614430
4/17/2012,2.422,2.477,2.38,2.447,2.344925,43565050
4/18/2012,2.451,2.56,2.445,2.518,2.412963,63040190
4/19/2012,2.518,2.55,2.455,2.548,2.441712,37435520
4/20/2012,2.512,2.53,2.388,2.42,2.319051,56645950
4/23/2012,2.423,2.423,2.325,2.351,2.25293,32983170
4/24/2012,2.3,2.37,2.221,2.275,2.180099,42030920
4/25/2012,2.273,2.315,2.18,2.293,2.197349,35563430
4/26/2012,2.285,2.299,2.236,2.258,2.163809,14164990
4/27/2012,2.258,2.287,2.22,2.257,2.162851,14775590
5/2/2012,2.257,2.339,2.257,2.28,2.184891,28191900
5/3/2012,2.258,2.326,2.258,2.312,2.215556,18615550
5/4/2012,2.311,2.43,2.295,2.404,2.303719,36882070
5/7/2012,2.394,2.52,2.353,2.492,2.388048,49008790
5/8/2012,2.471,2.51,2.402,2.408,2.307552,39710070
5/9/2012,2.408,2.408,2.408,2.408,2.307552,0
5/10/2012,2.369,2.418,2.346,2.385,2.285511,20428280
5/11/2012,2.383,2.392,2.328,2.342,2.244305,21129720
5/14/2012,2.365,2.576,2.365,2.489,2.385173,102953280
5/15/2012,2.431,2.549,2.424,2.46,2.357383,65934570
5/16/2012,2.44,2.65,2.44,2.561,2.45417,78325410
5/17/2012,2.57,2.62,2.52,2.606,2.497292,53985940
5/18/2012,2.615,2.65,2.539,2.607,2.49825,55387020
5/21/2012,2.6,2.618,2.41,2.46,2.357383,52861140
5/22/2012,2.465,2.545,2.465,2.483,2.379423,38177070
5/23/2012,2.48,2.578,2.43,2.569,2.461836,40942220
5/24/2012,2.545,2.65,2.533,2.57,2.462794,46266080
5/25/2012,2.58,2.636,2.511,2.521,2.415838,33462160
5/28/2012,2.5,2.59,2.46,2.59,2.48196,26167590
5/29/2012,2.566,2.744,2.566,2.689,2.57683,67374440
5/30/2012,2.679,2.723,2.637,2.72,2.606537,41078160
5/31/2012,2.692,2.915,2.688,2.798,2.681283,74383360
6/1/2012,2.78,2.887,2.761,2.812,2.694699,59149670
6/4/2012,2.74,2.824,2.7,2.725,2.611328,43572360
6/5/2012,2.725,2.773,2.691,2.748,2.633369,28981810
6/6/2012,2.758,2.764,2.642,2.655,2.544248,37598760
6/7/2012,2.681,2.706,2.625,2.678,2.566288,29404320
6/8/2012,2.718,2.758,2.666,2.695,2.58258,35099590
6/11/2012,2.696,2.805,2.616,2.803,2.686074,61036160
6/12/2012,2.79,2.825,2.754,2.797,2.680325,26165740
6/13/2012,2.794,2.846,2.771,2.821,2.703324,29682410
6/14/2012,2.802,2.843,2.715,2.725,2.611328,27435990
6/15/2012,2.725,2.748,2.695,2.725,2.611328,23855850
6/18/2012,2.748,2.813,2.72,2.792,2.675533,26758450
6/19/2012,2.797,2.868,2.783,2.823,2.70524,32925370
6/20/2012,2.825,2.886,2.805,2.806,2.688949,24388460
6/21/2012,2.77,2.89,2.765,2.89,2.769445,31459700
6/25/2012,2.89,2.937,2.832,2.855,2.735905,26339410
6/26/2012,2.84,2.855,2.73,2.846,2.727281,22028210
6/27/2012,2.89,2.979,2.862,2.875,2.755071,50989490
6/28/2012,2.875,2.875,2.875,2.875,2.755071,0
6/29/2012,2.795,2.998,2.79,2.97,2.846108,46807130
7/2/2012,2.97,3.155,2.953,3.155,3.023391,53373230
7/3/2012,3.16,3.18,3.107,3.163,3.031058,42556260
7/4/2012,3.17,3.19,3.03,3.04,2.913188,35606750
7/5/2012,3,3.04,2.93,2.998,2.87294,35278380
7/6/2012,3.012,3.107,2.902,3.09,2.961102,44498950
7/9/2012,3.065,3.116,3.024,3.024,2.897856,21609560
7/10/2012,3.013,3.031,2.9,2.93,2.807777,30305140
7/11/2012,2.913,3.03,2.901,3.02,2.894022,25419370
7/12/2012,3,3.08,2.971,3.02,2.894022,28323620
7/13/2012,3.015,3.039,2.97,2.98,2.855691,16506370
7/16/2012,2.98,2.98,2.682,2.74,2.625703,62522300
7/17/2012,2.74,2.8,2.71,2.776,2.660201,19817140
7/18/2012,2.776,2.828,2.69,2.81,2.692782,17886310
7/19/2012,2.81,2.9,2.766,2.881,2.760821,30982780
7/20/2012,2.87,2.896,2.81,2.836,2.717698,10449850
7/23/2012,2.82,2.958,2.76,2.895,2.774237,21672570
7/24/2012,2.841,2.944,2.841,2.905,2.78382,12056600
7/25/2012,2.906,3.055,2.906,3.033,2.90648,34503260
