Date,Open,High,Low,Close,Adj Close,Volume
2011-01-04,3.644740,3.658400,3.606050,3.632790,3.241293,13783064
2011-01-05,3.647020,3.772190,3.641330,3.678880,3.282416,23730869
2011-01-06,3.680590,3.712450,3.604920,3.681730,3.284959,15410004
2011-01-07,3.670350,3.670350,3.567360,3.570780,3.185966,16567243
2011-01-10,3.555990,3.618570,3.416590,3.431380,3.061589,10796550
2011-01-11,3.431380,3.514450,3.413750,3.470640,3.096618,6906226
2011-01-12,3.499090,3.499090,3.423990,3.441620,3.070725,5202777
2011-01-13,3.445610,3.516160,3.425130,3.445040,3.073776,5595197
2011-01-14,3.450730,3.451300,3.340920,3.356850,2.995090,8085610
2011-01-17,3.344330,3.344330,3.157720,3.166820,2.825539,10750642
2011-01-18,3.174780,3.208920,3.130410,3.146340,2.807266,4241475
2011-01-19,3.121300,3.203230,3.106510,3.197540,2.852949,6804373
2011-01-20,3.195840,3.195840,3.066680,3.068390,2.737717,6153129
2011-01-21,3.066110,3.103660,3.043920,3.049610,2.720961,6158894
2011-01-24,3.049610,3.105940,2.844790,2.850480,2.543291,9516806
2011-01-25,2.793580,2.872100,2.675240,2.844220,2.537705,7506077
2011-01-26,2.804960,2.924440,2.804960,2.874370,2.564606,8768403
2011-01-27,2.873240,2.987030,2.816340,2.935250,2.618925,7076924
2011-01-28,2.909650,2.958580,2.878930,2.913060,2.599127,10715033
2011-01-31,2.913060,2.949480,2.886320,2.925010,2.609789,23166381
2011-02-01,2.957440,2.957440,2.890300,2.905100,2.592024,9084279
2011-02-09,2.859580,2.921030,2.844790,2.864700,2.555978,8435548
2011-02-10,2.866980,2.951750,2.816340,2.948340,2.630605,12149762
2011-02-11,3.167960,3.196400,3.033110,3.060420,2.730606,27695646
2011-02-14,3.071800,3.271510,3.071800,3.262970,2.911327,32887578
2011-02-15,3.262970,3.293700,3.195840,3.249890,2.899657,23545724
2011-02-16,3.214610,3.265250,3.173650,3.262400,2.910819,14583686
2011-02-17,3.262400,3.270370,3.220300,3.245900,2.896097,9852438
2011-02-18,3.245900,3.265820,3.174780,3.191850,2.847872,9814526
2011-02-21,3.178770,3.240210,3.169090,3.230540,2.882393,9821170
2011-02-22,3.243060,3.339780,3.214610,3.220300,2.873256,13990197
2011-02-23,3.208350,3.277200,3.191280,3.243060,2.893563,10575163
2011-02-24,3.261830,3.375630,3.260700,3.331250,2.972249,16419306
2011-02-25,3.301090,3.325560,3.186160,3.246470,2.896606,13449366
2011-02-28,3.243060,3.258990,3.186160,3.237370,2.888487,9612683
2011-03-01,3.243060,3.299390,3.214610,3.254440,2.903717,11754108
2011-03-02,3.260130,3.318730,3.234520,3.293130,2.938237,13182562
2011-03-03,3.290850,3.299950,3.157720,3.166250,2.825031,15032876
2011-03-04,3.166250,3.220300,3.166250,3.192990,2.848889,6676156
2011-03-07,3.186730,3.211770,3.175920,3.211770,2.865645,12939750
2011-03-08,3.243060,3.270940,3.214610,3.231680,2.883410,13043712
2011-03-09,3.225990,3.254440,3.160560,3.248750,2.898640,33667180
2011-03-10,3.249890,3.314180,3.203230,3.207780,2.862085,23427841
2011-03-11,3.203230,3.207210,3.163400,3.164540,2.823505,11058309
2011-03-14,3.162840,3.162840,3.088870,3.105940,2.771220,15746795
2011-03-15,3.103660,3.103660,2.996130,3.043350,2.715375,14846482
2011-03-16,3.049610,3.093420,3.009790,3.090580,2.757516,12442666
2011-03-17,3.071230,3.071230,2.991580,2.996130,2.673244,10797271
2011-03-18,3.004670,3.043920,3.004670,3.013770,2.688983,5706435
2011-03-21,2.964270,3.026850,2.964270,3.026850,2.700654,4685533
2011-03-22,3.034250,3.069530,2.987030,3.066680,2.736191,6885820
2011-03-23,3.072370,3.091720,3.055870,3.088300,2.755481,8432314
2011-03-24,3.100820,3.140650,3.072370,3.096270,2.762592,9515998
2011-03-25,3.117320,3.140650,3.072370,3.139510,2.801172,12698502
2011-03-28,3.194700,3.203230,3.123580,3.123580,2.786959,13245766
2011-03-29,3.117890,3.117890,2.998980,3.014340,2.689492,10592124
2011-03-30,3.014340,3.014340,2.951750,2.970530,2.650403,8141133
2011-03-31,2.995560,3.014340,2.951750,2.987030,2.665125,5001321
2011-04-01,2.987030,3.015480,2.964840,3.002960,2.679338,4983271
2011-04-06,2.995560,3.049610,2.967110,3.022300,2.696594,6679548
2011-04-07,3.017180,3.046770,2.968820,2.991580,2.669185,9980426
2011-04-08,2.992720,3.043350,2.977360,3.041650,2.713859,7096644
2011-04-11,3.067250,3.083180,3.004100,3.012060,2.687457,7894454
2011-04-12,2.985890,3.009790,2.947200,2.952890,2.634664,14338026
2011-04-13,2.947200,2.971670,2.917610,2.964270,2.644818,5298971
2011-04-14,2.965980,2.979060,2.935820,2.968820,2.648878,5006453
2011-04-15,2.975650,2.978490,2.939800,2.970530,2.650403,5068831
2011-04-18,null,null,null,null,null,null
2011-04-19,2.969960,2.973940,2.828290,2.856170,2.548368,13701424
2011-04-20,2.853320,2.888030,2.836820,2.881770,2.571208,7558752
2011-04-21,2.884050,2.893150,2.856170,2.870960,2.561564,7400726
2011-04-22,2.894860,2.946060,2.861860,2.881770,2.571208,13182756
2011-04-25,2.888030,2.892580,2.824870,2.834550,2.529077,7632765
2011-04-26,2.866410,2.866410,2.741240,2.742380,2.446840,17113857
2011-04-27,2.781070,2.781070,2.730430,2.736690,2.441763,8435179
2011-04-28,2.758880,2.781070,2.672390,2.674100,2.385919,10723645
2011-04-29,2.674100,2.702550,2.576240,2.645080,2.360026,7648671
2011-05-03,2.645650,2.688320,2.617770,2.685480,2.396072,5176114
2011-05-04,2.655890,2.674100,2.634270,2.638260,2.353940,4036715
2011-05-05,2.638260,2.674100,2.595580,2.668410,2.380842,4296260
2011-05-06,2.639960,2.674100,2.622890,2.659880,2.373231,5439385
2011-05-09,2.694010,2.761720,2.667270,2.709950,2.417905,8128461
2011-05-10,2.705390,2.727010,2.617210,2.708240,2.416379,5856060
2011-05-11,2.719050,2.744650,2.708240,2.711080,2.418913,5352630
2011-05-12,2.707100,2.707100,2.633140,2.639390,2.354949,6197473
2011-05-13,2.642810,2.661020,2.599000,2.622890,2.340227,11910622
2011-05-16,2.624030,2.700840,2.611520,2.646220,2.361043,8978014
2011-05-17,2.628580,2.695150,2.611520,2.666700,2.379316,8894880
2011-05-18,2.667270,2.685480,2.653050,2.670690,2.382876,5949423
2011-05-19,2.685480,2.688890,2.661580,2.670690,2.382876,5567303
2011-05-20,2.674100,2.759440,2.674100,2.751480,2.454960,18408962
